Species, Module #, Module name,,,,,,,,,,,,,,,,,,,,,,,
Arhopala thamyras,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Ariadne ariadne,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aricia agestis,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Aroma aroma,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Arotis derasa,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Arrhenes dschilus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Arrhenes marnas,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Arteurotia tractipennis,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Artipe eryx,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Artitropa comus,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Artitropa erinnys,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Artopoetes pryeri,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Asbolis capucinus,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Ascia monuste,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aslauga marshalli,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Aspitha aspitha,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Asterocampa celtis,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Asterope markii,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Astictopterus jama,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Astraptes enotrus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Atalopedes campestris,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Atarnes sallei,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aterica rabena,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Athyma perius,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Atlantea perezi,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Atlides halesus,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Atrophaneura semperi,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Atrytone arogos,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Atrytonopsis hianna,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aubergina alda,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Augiades crinisus,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aurina azines,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Autochton potrillo,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Axiocerses harpax,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Azanus mirza,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Azanus natalensis,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Azanus ubaldus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Badamia exclamationis,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Baliochila barnesi,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Baoris farri,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Baoris oceia,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Baracus vittatus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Baronia brevicornis,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Batesia hypochlora,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Battus belus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Battus polydamas,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Bebearia sophus,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Belenois calypso,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Belenois creona,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Belenois java,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Belenois subeida,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Berberia abdelkader,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Bhagadatta austenia,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Bhutanitis mansfieldi,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Bhutanitis thaidina,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Bia actorion,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Bibasis sena,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Biblis hyperia,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Bicyclus anynana,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Bindahara phocides,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Boloria pales,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Borbo borbonica,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Borbo cinnara,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Brassolis sophorae,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Brenthis daphne,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Brenthis ino,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Brephidium exilis,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Brevioleria arzalia,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Brintesia circe,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Bungalotis astylos,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Bungalotis erythus,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Burara harisa,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Burara oedipodea,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Burmaozephyrus kothayaungi,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Burnsius albescens,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Butleria flavomaculatus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Byblia anvatara,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Byblia ilithyia,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cacyreus lingeus,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Caenides dacela,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Calephelis nemesis,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
