Unique.ID,X,Book,Page.Number,Taxon,Family,Subfamily.or.Tribe,Genus,Genus.2,Species.Epithet,Subspecies,Authority,Common.name,Wing.Size,Wingspan..F.,Wingspan..M.,Wingspan..U.,Forewing.Length..F.,Forewing.Length..M.,Forewing.Length..U.,Distribution.Range,Elevation,Abundance,Flight.characteristics,Habitat,Oviposition,Hostplant.larval.food,Adult.food,Phenology.and.voltinism,Daily.or.circadian.patterns,Diapause,Mimicry,Defense.strategies,Adult.forms,Ant.associations,Mobility,Trait.Availability.and.Format.Comments,Flag.for.QA,QA.Comments,Author,Lab,Created,Updated,Additional.Data,Full.Species.Account,sp_ID
NA,NA,NA,NA,NA,NA,NA,Hebomoia,NA,glaucippe,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Pachliopta,NA,aristolochiae,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Graphium,NA,agamemnon,NA,NA,1,1,1,1,NA,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Troides,NA,helena,NA,NA,1,1,NA,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Melanitis,NA,leda,NA,NA,1,1,NA,NA,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,NA,1,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Leptosia,NA,nina,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Ascia,NA,monuste,NA,NA,1,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Danaus,NA,melanippus,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Vagrans,NA,egista,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Hesperia,NA,comma,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Limenitis,NA,arthemis,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Pelopidas,NA,mathias,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Parthenos,NA,sylvia,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Coeliades,NA,forestan,NA,NA,1,1,1,1,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Coenonympha,NA,tullia,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Orsotriaena,NA,medus,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Urbanus,NA,proteus,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,1,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Elymnias,NA,hypermnestra,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Vindula,NA,arsinoe,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Tellervo,NA,zoilus,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Zerene,NA,cesonia,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Pyrgus,NA,communis,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Battus,NA,philenor,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,1
