ntaxa	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	runs
Caligo eurilochus	1	NA	NA	NA	NA	NA	NA	99
Calinaga buddha	1	NA	NA	NA	NA	NA	NA	99
Calleagris jamesoni	0	NA	NA	NA	NA	NA	NA	99
Callerebia annada	0	NA	NA	NA	NA	NA	NA	99
Callicore astarte	0	NA	NA	NA	NA	NA	NA	99
Callithomia lenea	1	NA	NA	NA	NA	NA	NA	99
Callophrys rubi	4	231.85641	272.667662734007	67.1224536837595	10	-0.608011931838558	0.1	99
Calpodes ethlius	2	76.4774	275.317104343434	99.0848990365013	1	-2.00676093205873	0.01	99
Caltoris cormasa	0	NA	NA	NA	NA	NA	NA	99
Calycopis cecrops	5	229.0363418	276.066730313131	63.2248400117913	6	-0.743859351868036	0.06	99
Calydna sturnula	0	NA	NA	NA	NA	NA	NA	99
Candalides xanthospilos	1	NA	NA	NA	NA	NA	NA	99
Caprona pillaana	1	NA	NA	NA	NA	NA	NA	99
Capronnieria galesus	0	NA	NA	NA	NA	NA	NA	99
Capys alpheus	1	NA	NA	NA	NA	NA	NA	99
Carcharodus alceae	1	NA	NA	NA	NA	NA	NA	99
Carcharodus lavatherae	0	NA	NA	NA	NA	NA	NA	99
Caria ino	1	NA	NA	NA	NA	NA	NA	99
Caria mantinea	0	NA	NA	NA	NA	NA	NA	99
Carrhenes canescens	0	NA	NA	NA	NA	NA	NA	99
Carterocephalus palaemon	1	NA	NA	NA	NA	NA	NA	99
Carystus phorcus	0	NA	NA	NA	NA	NA	NA	99
Cassionympha cassius	2	187.64228	260.370211767677	59.0303678546364	2	-1.23204266567965	0.02	99
Castalius rosimon	1	NA	NA	NA	NA	NA	NA	99
Catacroptera cloanthe	2	179.50233	279.879114	104.018160224498	1	-0.96499287992944	0.01	99
Catapaecilma elegans	1	NA	NA	NA	NA	NA	NA	99
Catapaecilma major	1	NA	NA	NA	NA	NA	NA	99
Catasticta nimbice	0	NA	NA	NA	NA	NA	NA	99
Catochrysops strabo	2	237.158162	272.67840549495	99.7738092199432	22	-0.356007691524015	0.22	99
Catonephele numilia	1	NA	NA	NA	NA	NA	NA	99
Catopsilia scylla	1	NA	NA	NA	NA	NA	NA	99
Catopyrops ancyra	3	229.515443333333	280.315497508418	83.9100430508876	10	-0.605410893953139	0.1	99
Celaenorrhinus aurivittata	0	NA	NA	NA	NA	NA	NA	99
Celaenorrhinus leucocera	1	NA	NA	NA	NA	NA	NA	99
Celaenorrhinus patula	0	NA	NA	NA	NA	NA	NA	99
Celastrina argiolus	6	235.174296666667	268.623542313805	50.2359308186038	6	-0.665843055002195	0.06	99
Celotes nessus	1	NA	NA	NA	NA	NA	NA	99
Cephrenes augiades	1	NA	NA	NA	NA	NA	NA	99
Cepora nerissa	1	NA	NA	NA	NA	NA	NA	99
Ceratinia neso	0	NA	NA	NA	NA	NA	NA	99
Ceratrichia phocion	0	NA	NA	NA	NA	NA	NA	99
Cerautola ceraunia	0	NA	NA	NA	NA	NA	NA	99
Cercyonis oetus	1	NA	NA	NA	NA	NA	NA	99
Cercyonis pegala	1	NA	NA	NA	NA	NA	NA	99
Cethosia biblis	1	NA	NA	NA	NA	NA	NA	99
Cethosia cydippe	1	NA	NA	NA	NA	NA	NA	99
Chaetocneme critomedia	3	266.351302666667	266.534648154882	64.5289872823834	86	-0.0028412887903098	0.86	99
Chaetoprocta odata	1	NA	NA	NA	NA	NA	NA	99
Chalinga elwesi	1	NA	NA	NA	NA	NA	NA	99
Chalodeta lypera	1	NA	NA	NA	NA	NA	NA	99
Chalybs janias	0	NA	NA	NA	NA	NA	NA	99
Charana mandarinus	0	NA	NA	NA	NA	NA	NA	99
Charaxes bernardus	3	260.269064666667	275.156930424242	78.4515173264603	66	-0.189771546363123	0.66	99
Charaxes brutus	4	214.467695	276.706680010101	73.3592120922587	5	-0.848414033289063	0.05	99
Charaxes contrarius	1	NA	NA	NA	NA	NA	NA	99
Charaxes jasius	7	246.909314190476	269.472802219336	45.7197627070236	28	-0.493517172725697	0.28	99
Charaxes varanes	2	159.835339	285.700638737374	111.138251363192	2	-1.13251106791355	0.02	99
Charaxes zoolina	1	NA	NA	NA	NA	NA	NA	99
Charis anius	1	NA	NA	NA	NA	NA	NA	99
Chazara briseis	1	NA	NA	NA	NA	NA	NA	99
Cheritra freja	3	260.269678	272.673630680135	74.8636120432166	61	-0.165687339170521	0.61	99
Chersonesia rahria	1	NA	NA	NA	NA	NA	NA	99
Chilades lajus	2	237.157242	278.227856585859	104.618671119029	17	-0.392574424302626	0.17	99
Chillanella stelligera	0	NA	NA	NA	NA	NA	NA	99
Chioides albofasciatus	1	NA	NA	NA	NA	NA	NA	99
Chioides catillus	1	NA	NA	NA	NA	NA	NA	99
Chiomara asychis	1	NA	NA	NA	NA	NA	NA	99
Chiomara georgina	1	NA	NA	NA	NA	NA	NA	99
Chiomara mithrax	0	NA	NA	NA	NA	NA	NA	99
Chitoria chrysolora	1	NA	NA	NA	NA	NA	NA	99
Chloreuptychia arnaca	1	NA	NA	NA	NA	NA	NA	99
Chloroselas esmeralda	0	NA	NA	NA	NA	NA	NA	99
Chloroselas pseudozeritis	1	NA	NA	NA	NA	NA	NA	99
Chlorostrymon simaethis	2	247.469212	268.572706090909	96.4869553318002	32	-0.218718623863072	0.32	99
Chlosyne janais	1	NA	NA	NA	NA	NA	NA	99
Choaspes benjaminii	1	NA	NA	NA	NA	NA	NA	99
Chondrolepis niveicornis	1	NA	NA	NA	NA	NA	NA	99
Choranthus haitensis	0	NA	NA	NA	NA	NA	NA	99
Choranthus radians	0	NA	NA	NA	NA	NA	NA	99
Chorinea licursis	0	NA	NA	NA	NA	NA	NA	99
Chrysoplectrum perniciosus	0	NA	NA	NA	NA	NA	NA	99
Chrysoplectrum pervivax	0	NA	NA	NA	NA	NA	NA	99
Chrysoritis oreas	0	NA	NA	NA	NA	NA	NA	99
Chrysozephyrus ataxus	1	NA	NA	NA	NA	NA	NA	99
Chrysozephyrus smaragdina	2	222.29702	256.84510059596	61.5203619132287	11.5	-0.561571478475499	0.115	99
Cigaritis takanonis	0	NA	NA	NA	NA	NA	NA	99
Cigaritis zohra	0	NA	NA	NA	NA	NA	NA	99
Cirrochroa aoris	1	NA	NA	NA	NA	NA	NA	99
Cirrochroa orissa	0	NA	NA	NA	NA	NA	NA	99
Cissia confusa	3	207.785106666667	266.198755474747	63.4256895759875	1	-0.920977748899333	0.01	99
Cissia labe	1	NA	NA	NA	NA	NA	NA	99
Cissia myncea	0	NA	NA	NA	NA	NA	NA	99
Cissia palladia	1	NA	NA	NA	NA	NA	NA	99
Cissia penelope	1	NA	NA	NA	NA	NA	NA	99
Citrinophila erastus	0	NA	NA	NA	NA	NA	NA	99
Cobalus calvina	0	NA	NA	NA	NA	NA	NA	99
Codatractus alcaeus	1	NA	NA	NA	NA	NA	NA	99
Codatractus arizonensis	0	NA	NA	NA	NA	NA	NA	99
Codatractus valeriana	0	NA	NA	NA	NA	NA	NA	99
Coeliades forestan	5	240.2837138	274.147696549495	61.2742602188349	23	-0.552662449592261	0.23	99
Coeliades ramanatek	0	NA	NA	NA	NA	NA	NA	99
Coelites nothis	0	NA	NA	NA	NA	NA	NA	99
Coenonympha pamphilus	1	NA	NA	NA	NA	NA	NA	99
Coenyra hebe	0	NA	NA	NA	NA	NA	NA	99
Cogia calchas	1	NA	NA	NA	NA	NA	NA	99
Cogia hippalus	0	NA	NA	NA	NA	NA	NA	99
Colias croceus	1	NA	NA	NA	NA	NA	NA	99
Colias hyale	1	NA	NA	NA	NA	NA	NA	99
Colobura dirce	2	225.40276	293.976702757576	121.53117451715	6	-0.564249815160789	0.06	99
Colotis amata	1	NA	NA	NA	NA	NA	NA	99
Colotis evagore	1	NA	NA	NA	NA	NA	NA	99
Conga chydaea	0	NA	NA	NA	NA	NA	NA	99
Consul fabius	1	NA	NA	NA	NA	NA	NA	99
Copaeodes aurantiaca	1	NA	NA	NA	NA	NA	NA	99
Corades medeba	0	NA	NA	NA	NA	NA	NA	99
Coreana raphaelis	1	NA	NA	NA	NA	NA	NA	99
Coreana stygiana	1	NA	NA	NA	NA	NA	NA	99
Corticea corticea	0	NA	NA	NA	NA	NA	NA	99
Creon cleobis	1	NA	NA	NA	NA	NA	NA	99
Creonpyge creon	0	NA	NA	NA	NA	NA	NA	99
Cressida cressida	1	NA	NA	NA	NA	NA	NA	99
Croitana croites	1	NA	NA	NA	NA	NA	NA	99
Croniades pieria	0	NA	NA	NA	NA	NA	NA	99
Crudaria leroma	1	NA	NA	NA	NA	NA	NA	99
Cunizza hirlanda	0	NA	NA	NA	NA	NA	NA	99
Cupha erymanthis	4	218.621495	260.495187400673	54.5561780201189	4	-0.767533465874964	0.04	99
Cupido comyntas	1	NA	NA	NA	NA	NA	NA	99
Cupido moorei	2	116.19759	279.194115878788	114.35417665614	1	-1.42536574216187	0.01	99
Cupidopsis cissus	1	NA	NA	NA	NA	NA	NA	99
Cupidopsis jobates	1	NA	NA	NA	NA	NA	NA	99
Cupitha purreea	2	247.468463	278.245068575758	113.703520579357	37	-0.270674165750898	0.37	99
Curetis bulis	1	NA	NA	NA	NA	NA	NA	99
Curetis saronis	1	NA	NA	NA	NA	NA	NA	99
Curetis tagalica	0	NA	NA	NA	NA	NA	NA	99
Cyaniris semiargus	1	NA	NA	NA	NA	NA	NA	99
Cybdelis phaesyla	0	NA	NA	NA	NA	NA	NA	99
Cyclargus ammon	2	237.158162	272.67840549495	99.7738092199432	22	-0.356007691524015	0.22	99
Cyclargus thomasi	0	NA	NA	NA	NA	NA	NA	99
Cycloglypha thrasibulus	0	NA	NA	NA	NA	NA	NA	99
Cyclyrius webbianus	1	NA	NA	NA	NA	NA	NA	99
Cyllopsis pyracmon	0	NA	NA	NA	NA	NA	NA	99
Cymothoe lurida	1	NA	NA	NA	NA	NA	NA	99
Cynandra opis	0	NA	NA	NA	NA	NA	NA	99
Cynea cynea	0	NA	NA	NA	NA	NA	NA	99
Cyrestis acilia	1	NA	NA	NA	NA	NA	NA	99
Cyrestis nivea	1	NA	NA	NA	NA	NA	NA	99
Dachetola azora	0	NA	NA	NA	NA	NA	NA	99
Daedalma dinias	0	NA	NA	NA	NA	NA	NA	99
Daimio tethys	2	271.516896	260.342806525253	71.7561009947267	83	0.155723197328805	0.83	99
Danaus chrysippus	1	NA	NA	NA	NA	NA	NA	99
Danaus eresimus	2	120.09499	265.773853787879	81.7953780474733	1	-1.78101583812386	0.01	99
Danaus erippus	1	NA	NA	NA	NA	NA	NA	99
Danaus gilippus	1	NA	NA	NA	NA	NA	NA	99
Danaus melanippus	2	213.48328	267.03945689899	81.5026279749972	7	-0.657109816329106	0.07	99
Danaus plexippus	1	NA	NA	NA	NA	NA	NA	99
Danis danis	2	231.572359	272.493439515152	98.8337612915193	17	-0.414039493998928	0.17	99
Dapidodigma demeter	1	NA	NA	NA	NA	NA	NA	99
Darpa pteria	0	NA	NA	NA	NA	NA	NA	99
Dasyophthalma rusina	1	NA	NA	NA	NA	NA	NA	99
Davidina armandi	0	NA	NA	NA	NA	NA	NA	99
Decinea decinea	0	NA	NA	NA	NA	NA	NA	99
Delias descombesi	1	NA	NA	NA	NA	NA	NA	99
Delias henningia	1	NA	NA	NA	NA	NA	NA	99
Delias pasithoe	2	162.945508	278.31836530303	115.191219776047	4	-1.00157683482592	0.04	99
Deloneura ochrascens	0	NA	NA	NA	NA	NA	NA	99
Dercas verhuelli	1	NA	NA	NA	NA	NA	NA	99
Detritivora gynaea	0	NA	NA	NA	NA	NA	NA	99
Deudorix antalus	6	227.018093066667	279.481901531313	59.7802988051338	2	-0.877610341755954	0.02	99
Deudorix epijarbas	4	235.493714333333	272.003531510101	65.4279446431785	9	-0.558015651811771	0.09	99
Diaethria anna	0	NA	NA	NA	NA	NA	NA	99
Diaethria clymena	2	237.158333	265.414109656566	81.6479512743454	23	-0.346068409746417	0.23	99
Dianesia carteri	0	NA	NA	NA	NA	NA	NA	99
Dichorragia nesimachus	1	NA	NA	NA	NA	NA	NA	99
Dilipa morgiana	0	NA	NA	NA	NA	NA	NA	99
Dingana dingana	1	NA	NA	NA	NA	NA	NA	99
Dione juno	1	NA	NA	NA	NA	NA	NA	99
Dira clytus	1	NA	NA	NA	NA	NA	NA	99
Dircenna jemina	0	NA	NA	NA	NA	NA	NA	99
