ntaxa	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	runs
Bungalotis astylos	0	NA	NA	NA	NA	NA	NA	99
Bungalotis erythus	0	NA	NA	NA	NA	NA	NA	99
Burara harisa	2	271.51699	271.30244910101	90.5157337087685	70.5	0.00237020560072133	0.705	99
Burara oedipodea	2	237.157608	264.056827939394	72.8389833331359	16	-0.369297026241674	0.16	99
Burmaozephyrus kothayaungi	0	NA	NA	NA	NA	NA	NA	99
Butleria flavomaculatus	0	NA	NA	NA	NA	NA	NA	99
Byblia anvatara	1	NA	NA	NA	NA	NA	NA	99
Byblia ilithyia	1	NA	NA	NA	NA	NA	NA	99
Cabares potrillo	0	NA	NA	NA	NA	NA	NA	99
Cacyreus lingeus	2	247.46905	277.811595373737	104.879091083783	45	-0.289309766705532	0.45	99
Caenides dacela	1	NA	NA	NA	NA	NA	NA	99
Calephelis nemesis	2	263.36208	272.566719262626	89.9074881328603	53	-0.102379005951364	0.53	99
Calephelis perditalis	1	NA	NA	NA	NA	NA	NA	99
Calephelis virginiensis	1	NA	NA	NA	NA	NA	NA	99
Caleta caleta	1	NA	NA	NA	NA	NA	NA	99
Caligo eurilochus	1	NA	NA	NA	NA	NA	NA	99
Calinaga buddha	1	NA	NA	NA	NA	NA	NA	99
Calleagris jamesoni	0	NA	NA	NA	NA	NA	NA	99
Callerebia annada	0	NA	NA	NA	NA	NA	NA	99
Callicore astarte	0	NA	NA	NA	NA	NA	NA	99
Callithomia lenea	1	NA	NA	NA	NA	NA	NA	99
Callophrys rubi	4	217.1799025	242.223101555556	30.4182468694048	14	-0.823295279411531	0.14	99
Calpodes ethlius	2	76.4774	264.995910565657	71.9367054631761	1	-2.62061640649026	0.01	99
Caltoris cormasa	0	NA	NA	NA	NA	NA	NA	99
Calycopis cecrops	5	208.0243534	245.247130646465	36.2002182243895	9	-1.02824731651441	0.09	99
Calydna sturnula	0	NA	NA	NA	NA	NA	NA	99
Candalides xanthospilos	1	NA	NA	NA	NA	NA	NA	99
Caprona pillaana	1	NA	NA	NA	NA	NA	NA	99
Capronnieria galesus	0	NA	NA	NA	NA	NA	NA	99
Capys alpheus	1	NA	NA	NA	NA	NA	NA	99
Carcharodus alceae	1	NA	NA	NA	NA	NA	NA	99
Carcharodus lavatherae	0	NA	NA	NA	NA	NA	NA	99
Caria ino	1	NA	NA	NA	NA	NA	NA	99
Caria mantinea	0	NA	NA	NA	NA	NA	NA	99
Carrhenes canescens	0	NA	NA	NA	NA	NA	NA	99
Carterocephalus palaemon	1	NA	NA	NA	NA	NA	NA	99
Carystus phorcus	0	NA	NA	NA	NA	NA	NA	99
Cassionympha cassius	2	187.64228	274.85332089899	88.7329872123203	1	-0.982848021224748	0.01	99
Castalius rosimon	1	NA	NA	NA	NA	NA	NA	99
Catacroptera cloanthe	2	179.50233	261.887047050505	71.6227682208261	1	-1.15025876682814	0.01	99
Catapaecilma elegans	1	NA	NA	NA	NA	NA	NA	99
Catapaecilma major	1	NA	NA	NA	NA	NA	NA	99
Catasticta nimbice	0	NA	NA	NA	NA	NA	NA	99
Catochrysops strabo	2	237.158162	268.901265212121	80.8072521850163	21	-0.392824930359496	0.21	99
Catonephele numilia	1	NA	NA	NA	NA	NA	NA	99
Catopsilia scylla	1	NA	NA	NA	NA	NA	NA	99
Catopyrops ancyra	3	227.459061666667	250.772838333333	41.192166376626	15	-0.565975978381554	0.15	99
Celaenorrhinus aurivittata	0	NA	NA	NA	NA	NA	NA	99
Celaenorrhinus leucocera	1	NA	NA	NA	NA	NA	NA	99
Celaenorrhinus patula	0	NA	NA	NA	NA	NA	NA	99
Celastrina argiolus	6	216.968905	234.793949818182	26.7659699051789	24	-0.66595923410692	0.24	99
Celotes nessus	1	NA	NA	NA	NA	NA	NA	99
Cephrenes augiades	1	NA	NA	NA	NA	NA	NA	99
Cepora nerissa	1	NA	NA	NA	NA	NA	NA	99
Ceratinia neso	0	NA	NA	NA	NA	NA	NA	99
Ceratrichia phocion	0	NA	NA	NA	NA	NA	NA	99
Cerautola ceraunia	0	NA	NA	NA	NA	NA	NA	99
Cercyonis oetus	1	NA	NA	NA	NA	NA	NA	99
Cercyonis pegala	1	NA	NA	NA	NA	NA	NA	99
Cethosia biblis	1	NA	NA	NA	NA	NA	NA	99
Cethosia cydippe	1	NA	NA	NA	NA	NA	NA	99
Chaetocneme critomedia	3	260.877265666667	258.877727117845	48.8475881478372	81	0.0409342328790111	0.81	99
Chaetoprocta odata	1	NA	NA	NA	NA	NA	NA	99
Chalinga elwesi	1	NA	NA	NA	NA	NA	NA	99
Chalodeta lypera	1	NA	NA	NA	NA	NA	NA	99
Chalybs janias	0	NA	NA	NA	NA	NA	NA	99
Charana mandarinus	0	NA	NA	NA	NA	NA	NA	99
Charaxes bernardus	3	248.713057	246.487790582492	34.3365600449288	60	0.0648074942451052	0.6	99
Charaxes brutus	4	190.56725675	253.285363353535	45.7275370961566	4	-1.371561002108	0.04	99
Charaxes contrarius	1	NA	NA	NA	NA	NA	NA	99
Charaxes jasius	7	230.810517142857	233.80987197114	30.6360933645577	58	-0.0979026533374106	0.58	99
Charaxes varanes	2	159.835339	273.635817989899	98.513928345179	2	-1.15517146561406	0.02	99
Charaxes zoolina	1	NA	NA	NA	NA	NA	NA	99
Charis anius	1	NA	NA	NA	NA	NA	NA	99
Chazara briseis	1	NA	NA	NA	NA	NA	NA	99
Cheritra freja	3	248.713863	254.401364053872	36.2024869531949	52	-0.157102495782271	0.52	99
Chersonesia rahria	1	NA	NA	NA	NA	NA	NA	99
Chilades lajus	2	237.157242	259.052563727273	45.1240399426271	9	-0.485225209336565	0.09	99
Chillanella stelligera	0	NA	NA	NA	NA	NA	NA	99
Chioides albofasciatus	1	NA	NA	NA	NA	NA	NA	99
Chioides catillus	1	NA	NA	NA	NA	NA	NA	99
Chiomara asychis	1	NA	NA	NA	NA	NA	NA	99
Chiomara georgina	1	NA	NA	NA	NA	NA	NA	99
Chiomara mithrax	0	NA	NA	NA	NA	NA	NA	99
Chitoria chrysolora	1	NA	NA	NA	NA	NA	NA	99
Chloreuptychia arnaca	1	NA	NA	NA	NA	NA	NA	99
Chloroselas esmeralda	0	NA	NA	NA	NA	NA	NA	99
Chloroselas pseudozeritis	1	NA	NA	NA	NA	NA	NA	99
Chlorostrymon simaethis	2	247.469212	274.626588676768	98.2501208406394	42	-0.276410618576405	0.42	99
Chlosyne janais	1	NA	NA	NA	NA	NA	NA	99
Choaspes benjaminii	1	NA	NA	NA	NA	NA	NA	99
Chondrolepis niveicornis	1	NA	NA	NA	NA	NA	NA	99
Choranthus haitensis	0	NA	NA	NA	NA	NA	NA	99
Choranthus radians	0	NA	NA	NA	NA	NA	NA	99
Chorinea licursis	0	NA	NA	NA	NA	NA	NA	99
Chrysoplectrum perniciosus	0	NA	NA	NA	NA	NA	NA	99
Chrysoplectrum pervivax	0	NA	NA	NA	NA	NA	NA	99
Chrysoritis oreas	0	NA	NA	NA	NA	NA	NA	99
Chrysozephyrus ataxus	1	NA	NA	NA	NA	NA	NA	99
Chrysozephyrus smaragdina	2	222.29702	269.923509494949	91.9506507261913	7	-0.517957068479816	0.07	99
Cigaritis takanonis	0	NA	NA	NA	NA	NA	NA	99
Cigaritis zohra	0	NA	NA	NA	NA	NA	NA	99
Cirrochroa aoris	1	NA	NA	NA	NA	NA	NA	99
Cirrochroa orissa	0	NA	NA	NA	NA	NA	NA	99
Cissia confusa	3	202.101876666667	250.157007249158	51.9617665151804	8	-0.92481710698678	0.08	99
Cissia labe	1	NA	NA	NA	NA	NA	NA	99
Cissia myncea	0	NA	NA	NA	NA	NA	NA	99
Cissia palladia	1	NA	NA	NA	NA	NA	NA	99
Cissia penelope	1	NA	NA	NA	NA	NA	NA	99
Citrinophila erastus	0	NA	NA	NA	NA	NA	NA	99
Cobalus calvina	0	NA	NA	NA	NA	NA	NA	99
Codatractus alcaeus	1	NA	NA	NA	NA	NA	NA	99
Codatractus arizonensis	0	NA	NA	NA	NA	NA	NA	99
Codatractus valeriana	0	NA	NA	NA	NA	NA	NA	99
Coeliades forestan	5	235.2251866	238.317663933333	33.1899626448665	47	-0.093175077249195	0.47	99
Coeliades ramanatek	0	NA	NA	NA	NA	NA	NA	99
Coelites nothis	0	NA	NA	NA	NA	NA	NA	99
Coenonympha pamphilus	1	NA	NA	NA	NA	NA	NA	99
Coenyra hebe	0	NA	NA	NA	NA	NA	NA	99
Cogia calchas	1	NA	NA	NA	NA	NA	NA	99
Cogia hippalus	0	NA	NA	NA	NA	NA	NA	99
Colias croceus	1	NA	NA	NA	NA	NA	NA	99
Colias hyale	1	NA	NA	NA	NA	NA	NA	99
Colobura dirce	2	225.40276	271.419379808081	89.7697757976392	10	-0.512607048410284	0.1	99
Colotis amata	1	NA	NA	NA	NA	NA	NA	99
Colotis evagore	1	NA	NA	NA	NA	NA	NA	99
Conga chydaea	0	NA	NA	NA	NA	NA	NA	99
Consul fabius	1	NA	NA	NA	NA	NA	NA	99
Copaeodes aurantiaca	1	NA	NA	NA	NA	NA	NA	99
Corades medeba	0	NA	NA	NA	NA	NA	NA	99
Coreana raphaelis	1	NA	NA	NA	NA	NA	NA	99
Coreana stygiana	1	NA	NA	NA	NA	NA	NA	99
Corticea corticea	0	NA	NA	NA	NA	NA	NA	99
Creon cleobis	1	NA	NA	NA	NA	NA	NA	99
Creonpyge creon	0	NA	NA	NA	NA	NA	NA	99
Cressida cressida	1	NA	NA	NA	NA	NA	NA	99
Croitana croites	1	NA	NA	NA	NA	NA	NA	99
Croniades pieria	0	NA	NA	NA	NA	NA	NA	99
Crudaria leroma	1	NA	NA	NA	NA	NA	NA	99
Cunizza hirlanda	0	NA	NA	NA	NA	NA	NA	99
Cupha erymanthis	4	205.504995	244.794627366162	43.2253117256092	13	-0.90894965930076	0.13	99
Cupido comyntas	1	NA	NA	NA	NA	NA	NA	99
Cupido moorei	2	116.19759	282.43867469697	111.361651682932	1	-1.49280369125891	0.01	99
Cupidopsis cissus	1	NA	NA	NA	NA	NA	NA	99
Cupidopsis jobates	1	NA	NA	NA	NA	NA	NA	99
Cupitha purreea	2	247.468463	268.481711121212	82.1411086036861	28	-0.25581890089403	0.28	99
Curetis bulis	1	NA	NA	NA	NA	NA	NA	99
Curetis saronis	1	NA	NA	NA	NA	NA	NA	99
Curetis tagalica	0	NA	NA	NA	NA	NA	NA	99
Cyaniris semiargus	1	NA	NA	NA	NA	NA	NA	99
Cybdelis phaesyla	0	NA	NA	NA	NA	NA	NA	99
Cyclargus ammon	2	237.158162	268.901265212121	80.8072521850163	21	-0.392824930359496	0.21	99
Cyclargus thomasi	0	NA	NA	NA	NA	NA	NA	99
Cycloglypha thrasibulus	0	NA	NA	NA	NA	NA	NA	99
Cyclyrius webbianus	1	NA	NA	NA	NA	NA	NA	99
Cyllopsis pyracmon	0	NA	NA	NA	NA	NA	NA	99
Cymothoe lurida	1	NA	NA	NA	NA	NA	NA	99
Cynandra opis	0	NA	NA	NA	NA	NA	NA	99
Cynea cynea	0	NA	NA	NA	NA	NA	NA	99
Cyrestis acilia	1	NA	NA	NA	NA	NA	NA	99
Cyrestis nivea	1	NA	NA	NA	NA	NA	NA	99
Dachetola azora	0	NA	NA	NA	NA	NA	NA	99
Daedalma dinias	0	NA	NA	NA	NA	NA	NA	99
Daimio tethys	2	271.516896	260.418632040404	72.6903937300787	78	0.152678550632249	0.78	99
Danaus chrysippus	1	NA	NA	NA	NA	NA	NA	99
Danaus eresimus	2	120.09499	272.610436515152	101.344105853919	4	-1.50492665784622	0.04	99
Danaus erippus	1	NA	NA	NA	NA	NA	NA	99
Danaus gilippus	1	NA	NA	NA	NA	NA	NA	99
Danaus melanippus	2	213.48328	260.495452666667	72.4176619255051	8	-0.649181034248625	0.08	99
Danaus plexippus	1	NA	NA	NA	NA	NA	NA	99
Danis danis	2	231.572359	279.88396089899	104.433089878681	15	-0.462608182474665	0.15	99
Dapidodigma demeter	1	NA	NA	NA	NA	NA	NA	99
Darpa pteria	0	NA	NA	NA	NA	NA	NA	99
Dasyophthalma rusina	1	NA	NA	NA	NA	NA	NA	99
Davidina armandi	0	NA	NA	NA	NA	NA	NA	99
Decinea decinea	0	NA	NA	NA	NA	NA	NA	99
Delias descombesi	1	NA	NA	NA	NA	NA	NA	99
Delias henningia	1	NA	NA	NA	NA	NA	NA	99
Delias pasithoe	2	162.945508	306.351085878788	135.741434777743	1	-1.0564613385264	0.01	99
Deloneura ochrascens	0	NA	NA	NA	NA	NA	NA	99
Dercas verhuelli	1	NA	NA	NA	NA	NA	NA	99
Detritivora gynaea	0	NA	NA	NA	NA	NA	NA	99
Deudorix antalus	6	192.32606	240.013933301347	34.5747626263521	9	-1.3792682777524	0.09	99
Deudorix epijarbas	4	232.164679	246.95528705303	37.7110540539949	31	-0.392208821101978	0.31	99
Diaethria anna	0	NA	NA	NA	NA	NA	NA	99
Diaethria clymena	2	237.158333	289.3695	116.059335022835	15	-0.449866156735494	0.15	99
Dianesia carteri	0	NA	NA	NA	NA	NA	NA	99
Dichorragia nesimachus	1	NA	NA	NA	NA	NA	NA	99
Dilipa morgiana	0	NA	NA	NA	NA	NA	NA	99
Dingana dingana	1	NA	NA	NA	NA	NA	NA	99
Dione juno	1	NA	NA	NA	NA	NA	NA	99
Dira clytus	1	NA	NA	NA	NA	NA	NA	99
Dircenna jemina	0	NA	NA	NA	NA	NA	NA	99
