"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"Apodemia duryi"	2	31.524908	263.647907474748	83.3682903771479	1	-2.78430801956777	0.01	99
"Apodemia hepburni"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Apodemia mormo"	2	88.9723	268.863606737374	92.7211922014094	1	-1.94013151110712	0.01	99
"Apodemia murphyi"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Apodemia palmerii"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Aponarope sutor"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Aporia agathon"	2	85.8842	260.984011030303	75.3782933716435	1	-2.32294740565424	0.01	99
"Aporia crataegi"	2	189.1223	271.22908710101	107.958688439456	6	-0.760538945849236	0.06	99
"Apostictopterus fuliginosus"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Appias lasti"	3	211.242457333333	256.280503414141	47.3802864893782	7	-0.950565085563693	0.07	99
"Appias libythea"	3	128.470152666667	250.548542148148	41.2983882714279	1	-2.9560085657372	0.01	99
"Appias paulina"	2	237.15834	282.882252484848	111.146032262465	19	-0.411385917734552	0.19	99
"Apyrrothrix araxes"	2	80.4628	255.835765373737	60.3672058654657	1	-2.90510324040131	0.01	99
"Araotes lapithis"	2	142.4068	259.800435919192	73.6254897589177	2	-1.59447001715833	0.02	99
"Araragi enthea"	2	195.75913	258.180010545455	64.7515838812358	5	-0.964005462166668	0.05	99
"Araschnia levana"	2	93.3981	283.159976737374	107.307235141099	1	-1.76839778313041	0.01	99
"Arawacus aetolus"	2	247.46944	275.933812030303	93.6755557539357	43	-0.303861256025771	0.43	99
"Arcas imperialis"	3	260.876793666667	251.125463959596	49.8294281703311	85	0.19569419247072	0.85	99
"Archaeoprepona demophon"	5	232.5130448	241.85462609495	38.6546394535366	41	-0.241667790128485	0.41	99
"Archaeoprepona meander"	2	169.1905	273.662852909091	100.250987206023	4	-1.04210797140973	0.04	99
"Archon apollinus"	2	176.8466	260.609469515152	62.2394110621738	3	-1.34581719340944	0.03	99
"Archonias brassolis"	2	247.469203	288.45297230303	116.301765169333	42	-0.352391636045754	0.42	99
"Arethusana arethusa"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Argon lota"	2	99.1432	282.792666393939	112.934468295496	2	-1.62615956993232	0.02	99
"Argynnina cyrila"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Argynnis aglaja"	2	247.469126	264.556121121212	79.4322148885643	43	-0.215114171815347	0.43	99
"Argynnis anadyomene"	2	141.2676	267.312218646465	81.0802267820032	1	-1.55456667610656	0.01	99
"Argynnis hyperbius"	2	141.2676	267.312218646465	81.0802267820032	1	-1.55456667610656	0.01	99
"Argynnis laodice"	2	231.572226	272.933921050505	100.194404741526	13	-0.412814419699451	0.13	99
"Argynnis nerippe"	2	141.2676	267.312218646465	81.0802267820032	1	-1.55456667610656	0.01	99
"Argynnis paphia"	2	231.572226	272.933921050505	100.194404741526	13	-0.412814419699451	0.13	99
"Argynnis sagana"	2	141.2676	267.312218646465	81.0802267820032	1	-1.55456667610656	0.01	99
"Argyraspodes argyraspis"	0	NA	NA	NA	NA	NA	NA	99
"Argyrophorus argenteus"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Arhopala bazalus"	2	80.4628	255.835765373737	60.3672058654657	1	-2.90510324040131	0.01	99
"Arhopala muta"	2	80.4628	255.835765373737	60.3672058654657	1	-2.90510324040131	0.01	99
"Arhopala thamyras"	2	143.8503	262.787874515152	80.5055259932368	3	-1.47738398138214	0.03	99
"Ariadne ariadne"	2	123.7924	279.661954848485	101.244015384342	1	-1.53954339184171	0.01	99
"Aricia agestis"	4	223.7349515	247.402068219697	39.0157955672133	20	-0.606603463433806	0.2	99
"Arita arita"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Aroma aroma"	2	48.7098	282.676330747475	103.156942143998	1	-2.26806384412672	0.01	99
"Arotis derasa"	2	89.2401	280.919288272727	112.633642891201	1	-1.70179338386383	0.01	99
