ntaxa	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	runs
Battus belus	2	176.8466	264.64442220202	83.901335399023	2	-1.04644129660709	0.02	99
Battus polydamas	2	176.8466	264.64442220202	83.901335399023	2	-1.04644129660709	0.02	99
Bebearia sophus	2	224.681982	291.612052272727	138.762189940353	11	-0.482336508969031	0.11	99
Belenois calypso	2	237.158201	259.428908565657	60.1199573969833	18	-0.370437846763578	0.18	99
Belenois creona	3	221.500819666667	248.202135838384	40.4939731229677	11	-0.659389882307512	0.11	99
Belenois java	2	138.5406	260.99399310101	87.4957487842871	4	-1.3995353466019	0.04	99
Belenois subeida	2	138.5406	260.99399310101	87.4957487842871	4	-1.3995353466019	0.04	99
Berberia abdelkader	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Bhagadatta austenia	1	NA	NA	NA	NA	NA	NA	99
Bhutanitis mansfieldi	2	176.8466	264.64442220202	83.901335399023	2	-1.04644129660709	0.02	99
Bhutanitis thaidina	2	176.8466	264.64442220202	83.901335399023	2	-1.04644129660709	0.02	99
Bia actorion	2	99.1432	274.820330030303	99.5868342410952	2	-1.7640597913274	0.02	99
Bibasis sena	3	240.595170333333	246.339672481482	42.6404708572118	44	-0.134719482047572	0.44	99
Biblis hyperia	2	231.572149	277.576815414141	105.194422078407	12	-0.437329903099346	0.12	99
Bicyclus anynana	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Bindahara phocides	2	247.46908	258.312828646465	74.7592772364568	44	-0.145048869482337	0.44	99
Boloria pales	1	NA	NA	NA	NA	NA	NA	99
Borbo borbonica	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Borbo cinnara	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Brassolis sophorae	3	143.15358	257.851017262626	50.2781935419813	1	-2.28125613078871	0.01	99
Brenthis daphne	2	231.572226	286.50012410101	117.264217962159	12	-0.468411413605602	0.12	99
Brenthis ino	3	236.871166	252.246037828283	50.433999201164	28	-0.304851331875502	0.28	99
Brephidium exilis	3	197.050196666667	250.299574821549	51.4823876782026	8	-1.03432223244431	0.08	99
Brevioleria arzalia	1	NA	NA	NA	NA	NA	NA	99
Brintesia circe	1	NA	NA	NA	NA	NA	NA	99
Bungalotis astylos	1	NA	NA	NA	NA	NA	NA	99
Bungalotis erythus	2	120	265.732061393939	83.2813482152569	2	-1.74987634706953	0.02	99
Burara harisa	3	232.827833333333	241.645927619529	37.2648403176384	26	-0.236633089288228	0.26	99
Burara oedipodea	2	237.158208	264.015860686869	84.5638516316463	21	-0.317602050623931	0.21	99
Burmaozephyrus kothayaungi	2	80.4628	285.905207141414	110.186167966966	1	-1.86450269513871	0.01	99
Butleria flavomaculatus	1	NA	NA	NA	NA	NA	NA	99
Byblia anvatara	2	247.468941	290.492044313131	122.923523847837	34	-0.349998942158443	0.34	99
Byblia ilithyia	1	NA	NA	NA	NA	NA	NA	99
Cabares potrillo	2	61.1816	267.40731869697	83.8271183143305	1	-2.46013131363618	0.01	99
Cacyreus lingeus	2	247.46917	269.870068515152	90.959941617916	44	-0.246272129430867	0.44	99
Caenides dacela	2	99.1432	274.820330030303	99.5868342410952	2	-1.7640597913274	0.02	99
Calephelis nemesis	2	263.36209	261.310924858586	58.5417194428456	59	0.0350376647788204	0.59	99
Calephelis perditalis	2	90.5191	261.019217141414	59.4508208023824	1	-2.86791863998254	0.01	99
Calephelis virginiensis	2	90.5191	261.019217141414	59.4508208023824	1	-2.86791863998254	0.01	99
Caleta caleta	2	102.7964	271.270817050505	100.120750884028	1	-1.68271228055063	0.01	99
Caligo eurilochus	2	116.52108	277.509621070707	108.042045195307	3	-1.49005455033445	0.03	99
Calinaga buddha	2	84.9278	265.266128636364	92.8806809938944	1	-1.94161290277596	0.01	99
Calleagris jamesoni	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Callerebia annada	1	NA	NA	NA	NA	NA	NA	99
Callicore astarte	2	121.5324	266.439429666667	81.6604107673307	1	-1.774507724184	0.01	99
Callithomia lenea	2	79.32	269.969954939394	91.3502605590259	1	-2.08702146849604	0.01	99
Callophrys rubi	7	207.885019857143	237.563967753247	34.3580456519607	16	-0.863813623066488	0.16	99
Calpodes ethlius	3	87.43253	249.87592152862	40.6081996135841	1	-4.00026086047606	0.01	99
Caltoris cormasa	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Calycopis cecrops	5	208.0243494	237.897667286869	37.849809047868	18	-0.789259408127752	0.18	99
Calydna sturnula	2	90.7909	287.618090555556	116.511845880529	1	-1.68933200798639	0.01	99
Candalides xanthospilos	2	60.1216	292.99421969697	129.1262282042	1	-1.8034494071081	0.01	99
Caprona pillaana	2	76.7222	271.933331090909	101.975935652234	2.5	-1.91428624647909	0.025	99
Capronnieria galesus	1	NA	NA	NA	NA	NA	NA	99
Capys alpheus	2	92.1087	282.244454707071	112.155408762888	1	-1.69528832184139	0.01	99
Carcharodus alceae	2	237.158012	288.079614111111	126.291286410373	22	-0.403207565291919	0.22	99
Carcharodus lavatherae	2	142	253.116451929293	49.9352335991832	3	-2.22521141727693	0.03	99
Caria ino	1	NA	NA	NA	NA	NA	NA	99
Caria mantinea	1	NA	NA	NA	NA	NA	NA	99
Carrhenes canescens	2	76.7222	271.933331090909	101.975935652234	2.5	-1.91428624647909	0.025	99
Carterocephalus palaemon	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Carystus phorcus	1	NA	NA	NA	NA	NA	NA	99
Cassionympha cassius	2	187.64298	253.215704808081	51.2523320007857	4	-1.27940958485705	0.04	99
Castalius rosimon	2	102.7964	271.270817050505	100.120750884028	1	-1.68271228055063	0.01	99
Catacroptera cloanthe	2	174.33691	283.68916930303	118.584455137224	2	-0.922146660592989	0.02	99
Catapaecilma elegans	1	NA	NA	NA	NA	NA	NA	99
