ntaxa	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	runs
Astraptes anaphus	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Astraptes enotrus	1	NA	NA	NA	NA	NA	NA	99
Astraptes talus	2	237.158172	274.064451232323	103.596566943337	23	-0.356250021803419	0.23	99
Atalopedes campestris	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Atarnes sallei	2	142.4068	280.981743242424	103.782051369827	1	-1.33524960639497	0.01	99
Aterica rabena	1	NA	NA	NA	NA	NA	NA	99
Athyma perius	1	NA	NA	NA	NA	NA	NA	99
Atlantea perezi	1	NA	NA	NA	NA	NA	NA	99
Atlides halesus	1	NA	NA	NA	NA	NA	NA	99
Atrophaneura alcinous	2	271.825562	263.14603969697	72.3445623570263	97	0.119974771015908	0.97	99
Atrophaneura coon	2	271.825418	264.020475969697	85.3005884316385	96	0.0914992753720341	0.96	99
Atrophaneura neptunus	1	NA	NA	NA	NA	NA	NA	99
Atrophaneura semperi	2	176.8466	268.871724939394	90.9725454014868	2	-1.01157029885513	0.02	99
Atrytone arogos	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Atrytonopsis hianna	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Aubergina alda	1	NA	NA	NA	NA	NA	NA	99
Augiades crinisus	1	NA	NA	NA	NA	NA	NA	99
Autochton cellus	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Axiocerses harpax	2	247.46938	281.491557060606	120.489741101877	55	-0.28236575786016	0.55	99
Azanus mirza	2	237.158162	277.552869191919	96.6753555453195	21	-0.417838723882251	0.21	99
Azanus natalensis	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Azanus ubaldus	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Badamia exclamationis	4	225.596324	259.600693153199	46.0973406927656	9	-0.737664443158111	0.09	99
Baliochila barnesi	0	NA	NA	NA	NA	NA	NA	99
Baoris farri	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Baoris oceia	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Baracus vittatus	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Baronia brevicornis	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Batesia hypochlora	1	NA	NA	NA	NA	NA	NA	99
Battus belus	2	176.8466	268.871724939394	90.9725454014868	2	-1.01157029885513	0.02	99
Battus polydamas	2	176.8466	268.871724939394	90.9725454014868	2	-1.01157029885513	0.02	99
Bebearia sophus	2	224.681982	264.158822555556	83.2608401266268	8	-0.474134545069656	0.08	99
Belenois calypso	2	237.158201	274.831871111111	88.2325187205837	17	-0.426981691754905	0.17	99
Belenois creona	3	234.484927333333	274.081509340067	84.1132145817346	17	-0.47075340306079	0.17	99
Belenois java	2	138.5406	267.242565656566	82.9969421100654	3	-1.55068322259257	0.03	99
Belenois subeida	2	138.5406	267.242565656566	82.9969421100654	3	-1.55068322259257	0.03	99
Berberia abdelkader	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Bhagadatta austenia	1	NA	NA	NA	NA	NA	NA	99
Bhutanitis mansfieldi	2	176.8466	268.871724939394	90.9725454014868	2	-1.01157029885513	0.02	99
Bhutanitis thaidina	2	176.8466	268.871724939394	90.9725454014868	2	-1.01157029885513	0.02	99
Bia actorion	2	99.1432	266.184749878788	96.4424403565725	3	-1.73203362815367	0.03	99
Bibasis sena	3	244.032138666667	264.04591823569	66.3072909294147	35	-0.301833769537178	0.35	99
Biblis hyperia	2	231.572149	263.270034545455	85.1182906667087	17	-0.372398050961474	0.17	99
Bicyclus anynana	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Bindahara phocides	2	247.46908	262.159297828283	74.9960633188481	41	-0.195879852597421	0.41	99
Boloria pales	1	NA	NA	NA	NA	NA	NA	99
Borbo borbonica	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Borbo cinnara	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Brassolis sophorae	3	169.786186666667	271.550330572391	79.1258597452126	1	-1.2861047479725	0.01	99
Brenthis daphne	2	231.572226	265.178460272727	71.5607031851441	12	-0.46961855846749	0.12	99
Brenthis ino	3	242.170150666667	265.555293979798	59.2184939250424	23	-0.394895948261227	0.23	99
Brephidium exilis	3	218.39968	270.580063575758	74.364129638058	5	-0.701687545187818	0.05	99
Brevioleria arzalia	1	NA	NA	NA	NA	NA	NA	99
Brintesia circe	1	NA	NA	NA	NA	NA	NA	99
Bungalotis astylos	1	NA	NA	NA	NA	NA	NA	99
Bungalotis erythus	2	120	275.770835505051	107.444202826236	2	-1.44978352863738	0.02	99
Burara harisa	3	252.172473333333	273.711321104377	79.2376714305516	45	-0.271825854826156	0.45	99
Burara oedipodea	2	237.158208	256.774583383838	65.4765453285878	15	-0.299593927648374	0.15	99
Burmaozephyrus kothayaungi	2	80.4628	300.238756787879	131.788572764126	1	-1.66764046516561	0.01	99
Butleria flavomaculatus	1	NA	NA	NA	NA	NA	NA	99
Byblia anvatara	2	247.468941	263.056914252525	84.2434567346507	40	-0.18503482474163	0.4	99
Byblia ilithyia	1	NA	NA	NA	NA	NA	NA	99
Cabares potrillo	2	61.1816	284.086185242424	118.328215110151	1	-1.88378219881812	0.01	99
Cacyreus lingeus	2	247.46917	263.436968676768	72.8348479805232	40	-0.219232951252094	0.4	99
Caenides dacela	2	99.1432	266.184749878788	96.4424403565725	3	-1.73203362815367	0.03	99
Calephelis nemesis	2	263.36209	257.267604141414	61.8007113744173	64	0.0986151408786002	0.64	99
Calephelis perditalis	2	90.5191	267.453046525253	81.4769278374603	1	-2.17158343130243	0.01	99
Calephelis virginiensis	2	90.5191	267.453046525253	81.4769278374603	1	-2.17158343130243	0.01	99
Caleta caleta	2	102.7964	270.617828030303	91.6822200063042	2	-1.8304686341448	0.02	99
Caligo eurilochus	2	116.52108	267.123230313131	90.7982391411249	1	-1.65864615589136	0.01	99
Calinaga buddha	2	84.9278	264.250337040404	84.1029130607434	1	-2.13217985577846	0.01	99
Calleagris jamesoni	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Callerebia annada	1	NA	NA	NA	NA	NA	NA	99
Callicore astarte	2	121.5324	267.314620414141	81.1171838716079	1	-1.7971804919274	0.01	99
Callithomia lenea	2	79.32	266.343366131313	87.1968969782647	1	-2.14483969742561	0.01	99
Callophrys rubi	7	232.41774847619	267.880423957672	41.7844789103307	5	-0.848704504789547	0.05	99
Calpodes ethlius	3	98.38766	274.68365346128	78.4997555914998	1	-2.24581582621347	0.01	99
Caltoris cormasa	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Calycopis cecrops	5	229.0363178	274.029387442424	58.1801375527291	6	-0.773340723054268	0.06	99
Calydna sturnula	2	90.7909	283.503662161616	111.817443933794	1	-1.72345883953241	0.01	99
Candalides xanthospilos	2	60.1216	274.483849676768	99.4219727331322	1	-2.15608525745267	0.01	99
Caprona pillaana	2	76.7222	285.527610707071	110.206080678118	1	-1.89468139527558	0.01	99
Capronnieria galesus	1	NA	NA	NA	NA	NA	NA	99
Capys alpheus	2	92.1087	287.386005090909	124.871884519788	1	-1.56382123839866	0.01	99
Carcharodus alceae	2	237.158012	278.004891545455	97.7547998749113	13	-0.417850372541531	0.13	99
Carcharodus lavatherae	2	142	278.301364242424	105.812305121279	1	-1.28814284960714	0.01	99
Caria ino	1	NA	NA	NA	NA	NA	NA	99
Caria mantinea	1	NA	NA	NA	NA	NA	NA	99
Carrhenes canescens	2	76.7222	285.527610707071	110.206080678118	1	-1.89468139527558	0.01	99
