"PD"	"SR"
"Cissia penelope"	418.872232	2
"Citrinophila erastus"	0	0
"Cobalus calvina"	0	0
"Codatractus alcaeus"	325.050502	1
"Codatractus arizonensis"	325.050502	1
"Codatractus valeriana"	0	0
"Coeliades forestan"	898.65896	6
"Coeliades ramanatek"	325.050872	1
"Coelites nothis"	325.050282	1
"Coenonympha pamphilus"	325.050732	1
"Coenyra hebe"	325.050732	1
"Cogia calchas"	325.050502	1
"Cogia hippalus"	325.050502	1
"Colias croceus"	325.050502	1
"Colias hyale"	325.050502	1
"Colobura dirce"	672.709604	4
"Colotis amata"	391.686565	2
"Colotis evagore"	325.050465	1
"Conga chydaea"	0	0
"Consul fabius"	325.05077	1
"Copaeodes aurantiaca"	325.050732	1
"Corades medeba"	0	0
"Coreana raphaelis"	325.050562	1
"Coreana stygiana"	325.050562	1
"Corticea corticea"	0	0
"Creon cleobis"	325.050922	1
"Creonpyge creon"	325.050262	1
"Cressida cressida"	325.05077	1
"Croitana croites"	325.050732	1
"Croniades pieria"	325.05054	1
"Crudaria leroma"	325.050502	1
"Cunizza hirlanda"	325.050922	1
"Cupha erymanthis"	641.14919	4
"Cupido comyntas"	325.050502	1
"Cupido moorei"	383.149352	2
"Cupidopsis cissus"	325.050502	1
"Cupidopsis jobates"	325.050502	1
"Cupitha purreea"	448.784415	2
"Curetis bulis"	325.050502	1
"Curetis saronis"	325.050502	1
"Curetis tagalica"	325.050502	1
"Cyaniris semiargus"	325.050502	1
"Cybdelis phaesyla"	0	0
"Cyclargus ammon"	443.629754	2
"Cyclargus thomasi"	0	0
"Cycloglypha thrasibulus"	325.05054	1
"Cyclyrius webbianus"	325.050502	1
"Cyllopsis pyracmon"	325.050732	1
"Cymothoe lurida"	325.050678	1
"Cynandra opis"	325.050735	1
"Cynea cynea"	0	0
"Cyrestis acilia"	325.050862	1
"Cyrestis nivea"	325.050862	1
"Dachetola azora"	0	0
"Daedalma dinias"	0	0
"Daimio tethys"	558.688518	3
"Danaus chrysippus"	325.050552	1
"Danaus eresimus"	385.098052	2
"Danaus erippus"	325.050552	1
"Danaus gilippus"	325.050552	1
"Danaus melanippus"	645.278466	4
"Danaus plexippus"	325.050552	1
"Danis danis"	440.836991	2
"Dapidodigma demeter"	440.836528	2
"Darpa pteria"	325.05054	1
"Dasyophthalma rusina"	431.784452	2
"Davidina armandi"	0	0
"Decinea decinea"	0	0
"Delias descombesi"	325.050922	1
"Delias henningia"	325.050922	1
"Delias pasithoe"	406.52363	2
"Deloneura ochrascens"	0	0
"Dercas verhuelli"	325.050502	1
"Detritivora gynaea"	0	0
"Deudorix antalus"	941.816834	7
"Deudorix epijarbas"	767.140883	5
"Diaethria anna"	0	0
"Diaethria clymena"	443.629925	2
"Dianesia carteri"	0	0
"Dichorragia nesimachus"	325.050662	1
"Dilipa morgiana"	0	0
"Dingana dingana"	325.050732	1
"Dione juno"	325.050658	1
"Dira clytus"	325.050732	1
"Dircenna jemina"	0	0
"Discolampa ethion"	325.050852	1
"Discophora celinde"	325.050282	1
"Dismorphia theucharila"	325.050502	1
"Dispar compacta"	533.472742	3
"Dixeia charina"	325.050465	1
"Dixeia doxo"	325.050465	1
"Dodona deodata"	325.050484	1
"Doleschallia bisaltide"	517.296632	3
"Doleschallia polibete"	325.049922	1
"Doxocopa agathina"	325.050872	1
