Tree_label	Lep_family	Lep_accepted_name	PD	Num.families	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	PD.3sources	Num.families.3sources	mpd.obs.3sources	mpd.rand.mean.3sources	mpd.rand.sd.3sources	mpd.obs.rank.3sources	mpd.obs.z.3sources	mpd.obs.p.3sources	mntd.obs.3sources	mntd.rand.mean.3sources	mntd.rand.sd.3sources	mntd.obs.rank.3sources	mntd.obs.z.3sources	mntd.obs.p.3sources
BN000110_LEP41820_Hesperiidae_Pyrginae_Erynnini_Anastrus_sempiternus	Hesperiidae	Anastrus sempiternus	421.689385	2	193.27798	265.7628621	82.47364042	4	-0.878885444	0.04	193.27798	277.7221544	106.8294971	7	-0.790457474	0.07	325.050685	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000111_LEP28753_Hesperiidae_Hesperiinae_Hesperiini_Anatrytone_logan	Hesperiidae	Anatrytone logan	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RE06E025_X_Hesperiidae_Hesperiinae_Erionotini_Ancistroides_gemmifer_X_ME	Hesperiidae	Ancistroides gemmifer	325.050972	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050972	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000120_LEP27503_Hesperiidae_Hesperiinae_Hesperiini_Ancyloxypha_numitor	Hesperiidae	Ancyloxypha numitor	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000124_BNSZS00313_Hesperiidae_Hesperiinae_X_Andronymus_neander	Hesperiidae	Andronymus neander	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN005458_MFB18B046_Hesperiidae_Trapezitinae_X_Anisynta_cynone	Hesperiidae	Anisynta cynone	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR9330369_X_Hesperiidae_Trapezitinae_X_Anisynta_dominula	Hesperiidae	Anisynta dominula	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000128_301_Hesperiidae_Trapezitinae_X_Anisynta_tillyardi	Hesperiidae	Anisynta tillyardi	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN003440_LEP59353_Hesperiidae_Hesperiinae_Ceratrichiini_Ankola_fan	Hesperiidae	Ankola fan	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000130_LEP32047_Hesperiidae_Hesperiinae_Hesperiini_Anthoptus_epictetus	Hesperiidae	Anthoptus epictetus	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000135_617_Hesperiidae_Trapezitinae_X_Antipodia_atralba	Hesperiidae	Antipodia atralba	325.050752	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050752	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN005460_MFB17A081_Hesperiidae_Trapezitinae_X_Antipodia_chaostola	Hesperiidae	Antipodia chaostola	325.050752	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050752	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR9330395_X_Hesperiidae_Tagiadinae_Celaenorrhinini_Apallaga_opalinus	Hesperiidae	Apallaga opalinus	325.049922	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN007003_LEP79670_Hesperiidae_Barcinae_X_Apostictopterus_fuliginosus	Hesperiidae	Apostictopterus fuliginosus	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000138_LEP40127_Hesperiidae_Pyrrhopyginae_Pyrrhopygini_Apyrrothrix_araxes	Hesperiidae	Apyrrothrix araxes	325.050512	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN003660_LEP61243_Hesperiidae_Hesperiinae_Hesperiini_Argon_lota	Hesperiidae	Argon lota	325.050282	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN003685_LEP61268_Hesperiidae_Hesperiinae_Hesperiini_Tigasis_arita	Hesperiidae	Arita arita	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN003668_LEP61251_Hesperiidae_Hesperiinae_Hesperiini_Aroma_aroma	Hesperiidae	Aroma aroma	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000140_495_Hesperiidae_Hesperiinae_Hesperiini_Arotis_derasa	Hesperiidae	Arotis derasa	325.050752	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000141_311_Hesperiidae_Hesperiinae_Taractrocerini_Arrhenes_dschilus	Hesperiidae	Arrhenes dschilus	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
