PD	SR
Choaspes benjaminii	325.050662	1
Chondrolepis niveicornis	325.050732	1
Choranthus haitensis	0	0
Choranthus radians	0	0
Chorinea licursis	0	0
Chrysoplectrum perniciosus	0	0
Chrysoplectrum pervivax	0	0
Chrysoritis oreas	0	0
Chrysozephyrus ataxus	325.050512	1
Chrysozephyrus smaragdina	436.199212	2
Cigaritis takanonis	0	0
Cigaritis zohra	0	0
Cirrochroa aoris	325.050678	1
Cirrochroa orissa	0	0
Cissia confusa	529.994222	3
Cissia labe	325.050732	1
Cissia myncea	0	0
Cissia palladia	325.050732	1
Cissia penelope	325.050732	1
Citrinophila erastus	0	0
Cobalus calvina	0	0
Codatractus alcaeus	325.050502	1
Codatractus arizonensis	0	0
Codatractus valeriana	0	0
Coeliades forestan	799.52846	5
Coeliades ramanatek	0	0
Coelites nothis	0	0
Coenonympha pamphilus	325.050732	1
Coenyra hebe	0	0
Cogia calchas	325.050502	1
Cogia hippalus	0	0
Colias croceus	325.050502	1
Colias hyale	325.050502	1
Colobura dirce	437.751762	2
Colotis amata	325.050365	1
Colotis evagore	325.050465	1
Conga chydaea	0	0
Consul fabius	325.05077	1
Copaeodes aurantiaca	325.050732	1
Corades medeba	0	0
Coreana raphaelis	325.050562	1
Coreana stygiana	325.050562	1
Corticea corticea	0	0
Creon cleobis	325.050922	1
Creonpyge creon	0	0
Cressida cressida	325.05077	1
Croitana croites	325.050732	1
Croniades pieria	0	0
Crudaria leroma	325.050502	1
Cunizza hirlanda	0	0
Cupha erymanthis	641.14919	4
Cupido comyntas	325.050502	1
Cupido moorei	383.149352	2
Cupidopsis cissus	325.050502	1
Cupidopsis jobates	325.050502	1
Cupitha purreea	448.784415	2
Curetis bulis	325.050502	1
Curetis saronis	325.050502	1
Curetis tagalica	0	0
Cyaniris semiargus	325.050502	1
Cybdelis phaesyla	0	0
Cyclargus ammon	443.629754	2
Cyclargus thomasi	0	0
Cycloglypha thrasibulus	0	0
Cyclyrius webbianus	325.050502	1
Cyllopsis pyracmon	0	0
Cymothoe lurida	325.050678	1
Cynandra opis	0	0
Cynea cynea	0	0
Cyrestis acilia	325.050862	1
Cyrestis nivea	325.050862	1
Dachetola azora	0	0
Daedalma dinias	0	0
Daimio tethys	460.809018	2
Danaus chrysippus	325.050552	1
Danaus eresimus	385.098052	2
Danaus erippus	325.050552	1
Danaus gilippus	325.050552	1
Danaus melanippus	431.792052	2
Danaus plexippus	325.050552	1
Danis danis	440.836991	2
Dapidodigma demeter	325.050502	1
Darpa pteria	0	0
Dasyophthalma rusina	325.050282	1
Davidina armandi	0	0
Decinea decinea	0	0
Delias descombesi	325.050922	1
Delias henningia	325.050922	1
Delias pasithoe	406.52363	2
Deloneura ochrascens	0	0
Dercas verhuelli	325.050502	1
Detritivora gynaea	0	0
Deudorix antalus	848.497334	6
Deudorix epijarbas	675.794503	4
Diaethria anna	0	0
