Phy_ID,sp_ID,Family,Subfamily,Tribe,Genus valid_imaged,Species valid_imaged,Scientific name valid_imaged,Number_of_host_families,PD,MPD,MNTD,DSI_MPD,DSI_MNTD,host_families
69,B_5444,Lycaenidae,Polyommatinae,Polyommatini,Lepidochrysops,patricia,Lepidochrysops patricia,6,711.938111,194.8560758,149.9510313,-1.375642195,-2.844380376,Fabaceae Acanthaceae Lamiaceae Linderniaceae Verbenaceae Acanthaceae Oxalidaceae
70,B_4865,Lycaenidae,Polyommatinae,Niphandini,Niphanda,fusca,Niphanda fusca,,,,,,,Aphididae Psyllidae Formicidae
71,B_4705,Lycaenidae,Polyommatinae,Lycaenesthini,Anthene,emolus,Anthene emolus,1 1,325.050502 325.050562,192 105.77,192 105.77,-2.726534421,-3.613184081,Fabaceae Gesneriaceae
72,B_5080,Lycaenidae,Polyommatinae,Polyommatini,Cupidopsis,cissus,Cupidopsis cissus,6,711.938111,194.8560758,149.9510313,-1.375642195,-2.844380376,Fabaceae Acanthaceae Lamiaceae Linderniaceae Verbenaceae Acanthaceae Oxalidaceae
73,B_9447,Lycaenidae,Theclinae,Oxylidini,Oxylides,faunus,Oxylides faunus,NA,NA,NA,NA,NA,NA,NA
74,B_8927,Lycaenidae,Theclinae,Hypolycaenini,Hemiolaus,caeculus,Hemiolaus caeculus,2,448.785612,247.46938,247.46938,-0.274025606,-0.187249916,Aizoaceae Crassulaceae
75,B_9462,Lycaenidae,Theclinae,Remelanini,Remelana,jangala,Remelana jangala,10,1279.594475,234.2938799,195.7055495,-0.918731887,-0.894872051,Ericaceae Pentaphylacaceae Primulaceae Rubiaceae Verbenaceae Hypericaceae Phyllanthaceae Malvaceae Combretaceae Sapindaceae
76,B_8977,Lycaenidae,Theclinae,Hypolycaenini,Hypolycaena,phorbas,Hypolycaena phorbas,2,448.785612,247.46938,247.46938,-0.274025606,-0.187249916,Aizoaceae Crassulaceae
77,B_7565,Lycaenidae,Theclinae,Cheritrini,Drupadia,ravindra,Drupadia ravindra,5,796.083916,241.6570002,230.407245,-0.536840331,-0.069615119,Lecythidaceae Fabaceae Rubiaceae Myrtaceae Sapindaceae
78,B_8918,Lycaenidae,Theclinae,Horagini,Horaga,onyx,Horaga onyx,15,1791.324281,238.2769751,196.4488872,-0.924053372,-0.666983664,Lecythidaceae Styracaceae Rubiaceae Annonaceae Euphorbiaceae Ochnaceae Phyllanthaceae Picrodendraceae Putranjivaceae Dipterocarpaceae Myrtaceae Loranthaceae Anacardiaceae Sapindaceae Simaroubaceae
