Phy_ID,sp_ID,Family,Subfamily,Tribe,Genus valid_imaged,Species valid_imaged,Scientific name valid_imaged,Number_of_host_families,PD,MPD,MNTD,DSI_MPD,DSI_MNTD
180,B_33,Hedylidae,,,Macrosoma,stabilinota,Macrosoma stabilinota,1,325.050645,76.7222,76.7222,-2.394140677,-1.80105635
181,B_21,Hedylidae,,,Macrosoma,leucoplethes,Macrosoma leucoplethes,1,325.050645,76.7222,76.7222,-2.394140677,-1.80105635
182,B_16567,Papilionidae,Papilioninae,Troidini,Troides,helena,Troides helena,1,325.05077,176.8466,176.8466,-1.152867074,-1.345817193
183,B_16542,Papilionidae,Papilioninae,Troidini,Parides,photinus,Parides photinus,1,325.05077,176.8466,176.8466,-1.152867074,-1.345817193
184,B_16503,Papilionidae,Papilioninae,Troidini,Pachliopta,aristolochiae,Pachliopta aristolochiae,1,325.05077,176.8466,176.8466,-1.152867074,-1.345817193
185,B_16494,Papilionidae,Papilioninae,Troidini,Battus,philenor,Battus philenor,1,325.05077,176.8466,176.8466,-1.152867074,-1.345817193
186,B_16419,Papilionidae,Papilioninae,Papilionini,Papilio,xuthus,Papilio xuthus,1,325.050763,169.1905,169.1905,-1.018220449,-1.042107971
187,B_16311,Papilionidae,Papilioninae,Papilionini,Papilio,deiphobus,Papilio deiphobus,1,325.050763,169.1905,169.1905,-1.018220449,-1.042107971
188,B_16434,Papilionidae,Papilioninae,Papilionini,Pterourus,glaucus,Pterourus glaucus,1,325.050763,169.1905,169.1905,-1.018220449,-1.042107971
189,B_16453,Papilionidae,Papilioninae,Teinopalpini,Teinopalpus,imperialis,Teinopalpus imperialis,3,596.721405,271.7222633,271.6194327,0.006721476,0.377108625
190,B_16592,Papilionidae,Parnassiinae,Luehdorfiini,Luehdorfia,japonica,Luehdorfia japonica,1,325.05077,176.8466,176.8466,-1.152867074,-1.345817193
191,B_16655,Papilionidae,Parnassinae,Zerynthiini,Zerynthia,cerisyi,Zerynthia cerisyi,1,325.05077,176.8466,176.8466,-1.152867074,-1.345817193
192,B_16599,Papilionidae,Parnassiinae,Parnassiini,Parnassius,apollo,Parnassius apollo,1,325.051262,119.0588,119.0588,-1.814390642,-1.762400846
193,B_16091,Papilionidae,Papilioninae,Leptocircini,Eurytides,marcellus,Eurytides marcellus,3,569.343092,253.4700013,235.1150007,-0.287273341,-0.315417732
194,B_16103,Papilionidae,Papilioninae,Leptocircini,Graphium,agamemnon,Graphium agamemnon,3,569.343092,253.4700013,235.1150007,-0.287273341,-0.315417732
195,B_16077,Papilionidae,Baroniinae,,Baronia,brevicornis,Baronia brevicornis,1,325.050502,192,192,-0.773400109,-0.886740072
