Phy_ID,sp_ID,Family,Subfamily,Tribe,Genus valid_imaged,Species valid_imaged,Scientific name valid_imaged
124,B_18341,Riodinidae,Riodininae,Mesosemiini,Mesosemia,lamachus,Mesosemia lamachus
125,B_19432,Riodinidae,Riodininae,Eurybiini,Eurybia,nicaeus,Eurybia niceus
126,B_18055,Riodinidae,Nemeobiinae,Abisarini,Abisara,echerius,Abisara echerius
127,B_18152,Riodinidae,Nemeobiinae,Nemeobiini,Hamearis,lucina,Hamearis lucina
128,B_17931,Riodinidae,Nemeobiinae,Euselasiini,Euselasia,euromus,Euselasia euromus
129,B_17743,Pieridae,Pierinae,Pierini,Pontia,beckerii,Pontia beckerii
130,B_17149,Pieridae,Pierinae,Pierini,Ascia,monuste,Ascia monuste
131,B_17691,Pieridae,Pierinae,Pierini,Neophasia,terlooii,Neophasia terlooii
132,B_17124,Pieridae,Pierinae,Pierini,Appias,libythea,Appias libythea
133,B_17014,Pieridae,Pierinae,Elodinini,Elodina,angulipennis,Elodina angulipennis
134,B_16991,Pieridae,Pierinae,Anthocharidini,Hebomoia,glaucippe,Hebomoia glaucippe
135,B_16949,Pieridae,Pierinae,Anthocharidini,Anthocharis,belia,Anthocharis belia
136,B_17052,Pieridae,Pierinae,Nepheronini,Nepheronia,pharis,Nepheronia pharis
137,B_17046,Pieridae,Pierinae,Leptosianini,Leptosia,nina,Leptosia nina
138,B_17817,Pieridae,Pierinae,Teracolini,Colotis,hetaera,Colotis hetaera
139,B_17865,Pieridae,Pseudopontiinae,0,Pseudopontia,paradoxa,Pseudopontia paradoxa
140,B_16710,Pieridae,Coliadinae,0,Colias,eurytheme,Colias eurytheme
141,B_16879,Pieridae,Coliadinae,0,Zerene,cesonia,Zerene cesonia
142,B_16859,Pieridae,Coliadinae,0,Phoebis,sennae,Phoebis sennae
143,B_16934,Pieridae,Dismorphiinae,0,Leptidea,sinapis,Leptidea sinapis
144,B_1193,Hesperiidae,Hesperiinae,Hesperiini,Hesperia,comma,Hesperia comma
145,B_1223,Hesperiidae,Hesperiinae,Hesperiini,Hylephila,phyleus,Hylephila phyleus
146,B_1327,Hesperiidae,Hesperiinae,Hesperiini,Poanes,zabulon,Poanes zabulon
147,B_1017,Hesperiidae,Hesperiinae,Carystini,Saliana,esperi,Saliana esperi
148,B_2190,Hesperiidae,Hesperiinae,Thymelicini,Thymelicus,sylvestris,Thymelicus sylvestris
149,B_1564,Hesperiidae,Hesperiinae,Moncini,Cymaenes,tripunctus,Cymaenes tripunctus
150,B_1928,Hesperiidae,Hesperiinae,Moncini,Vettius,lafrenaye,Vettius lafrenaye
151,B_1649,Hesperiidae,Hesperiinae,Moncini,Lerema,accius,Lerema accius
152,B_751,Hesperiidae,Hesperiinae,Anthoptini,Anthoptus,epictetus,Anthoptus epictetus
153,B_2501,Hesperiidae,Hesperiinae,incertae sedis,Megathymus,yuccae,Megathymus yuccae
154,B_880,Hesperiidae,Hesperiinae,Baoridiini,Pelopidas,mathias,Pelopidas mathias
155,B_2673,Hesperiidae,Hesperiinae,incertae sedis,Pyroneura,helena,Pyroneura helena
156,B_2239,Hesperiidae,Hesperiinae,incertae sedis,Ancistroides,gemmifer,Ancistroides gemmifer
157,B_2031,Hesperiidae,Hesperiinae,Taractrocerini,Ocybadistes,flavovittata,Ocybadistes flavovittata
158,B_2439,Hesperiidae,Hesperiinae,incertae sedis,Kedestes,callicles,Kedestes callicles
159,B_2281,Hesperiidae,Hesperiinae,incertae sedis,Astictopterus,punctulata,Astictopterus punctulata
160,B_2475,Hesperiidae,Hesperiinae,incertae sedis,Leona,luehderi,Leona luehderi
161,B_2203,Hesperiidae,Hesperiinae,incertae sedis,Acleros,mackenii,Acleros mackenii
