ntaxa	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	runs
Carystus phorcus	1	NA	NA	NA	NA	NA	NA	99
Cassionympha cassius	2	187.64228	276.474514393939	106.666904025532	6	-0.832800344263072	0.06	99
Castalius rosimon	1	NA	NA	NA	NA	NA	NA	99
Catacroptera cloanthe	2	179.50233	257.976302919192	74.8162381570141	4	-1.04888958402989	0.04	99
Catapaecilma elegans	2	237.157773	276.853982727273	105.418195761192	19	-0.376559373271748	0.19	99
Catapaecilma major	8	192.6571615	231.916822236111	32.2346964192783	7	-1.21793176599087	0.07	99
Catasticta nimbice	1	NA	NA	NA	NA	NA	NA	99
Catochrysops strabo	2	237.158162	267.62844949495	91.5939724451289	23	-0.332666950472132	0.23	99
Catonephele numilia	3	255.587995	256.504356198653	50.1385463991293	76	-0.0182765808836684	0.76	99
Catopsilia scylla	1	NA	NA	NA	NA	NA	NA	99
Catopyrops ancyra	5	185.9417704	247.532702826263	41.0385568365098	4	-1.50080648965386	0.04	99
Celaenorrhinus aurivittata	1	NA	NA	NA	NA	NA	NA	99
Celaenorrhinus leucocera	1	NA	NA	NA	NA	NA	NA	99
Celaenorrhinus patula	1	NA	NA	NA	NA	NA	NA	99
Celastrina argiolus	9	192.396668888889	227.562765156005	24.5770471060379	3	-1.43085115617801	0.03	99
Celotes nessus	1	NA	NA	NA	NA	NA	NA	99
Cephrenes augiades	1	NA	NA	NA	NA	NA	NA	99
Cepora nerissa	2	76.5566	275.976718343434	97.3794308853236	1	-2.04786695229587	0.01	99
Ceratinia neso	1	NA	NA	NA	NA	NA	NA	99
Ceratrichia phocion	1	NA	NA	NA	NA	NA	NA	99
Cerautola ceraunia	0	NA	NA	NA	NA	NA	NA	99
Cercyonis oetus	1	NA	NA	NA	NA	NA	NA	99
Cercyonis pegala	3	215.601008	258.29412820202	51.1765446426306	10	-0.834232176090615	0.1	99
Cethosia biblis	1	NA	NA	NA	NA	NA	NA	99
Cethosia cydippe	2	247.469306	264.027157616162	70.5583489676292	50	-0.234668920948788	0.5	99
Chaetocneme critomedia	5	242.6957916	243.208998648485	37.8923613020823	66	-0.0135438128121259	0.66	99
Chaetoprocta odata	1	NA	NA	NA	NA	NA	NA	99
Chalinga elwesi	1	NA	NA	NA	NA	NA	NA	99
Chalodeta lypera	2	237.158119	263.281290848485	71.4586253707165	20	-0.365570590155657	0.2	99
Chalybs janias	2	247.46875	269.692190686869	91.4769353808255	32	-0.242940371737977	0.32	99
Charana mandarinus	1	NA	NA	NA	NA	NA	NA	99
Charaxes bernardus	5	202.417105	244.997170743434	28.9825882838417	5	-1.46916021876395	0.05	99
Charaxes brutus	4	190.56725675	253.462696560606	45.0001884953304	5	-1.39767058569394	0.05	99
Charaxes contrarius	1	NA	NA	NA	NA	NA	NA	99
Charaxes jasius	10	214.1581265	227.166970956566	23.4037843074531	30	-0.555843631340548	0.3	99
Charaxes varanes	2	159.835339	279.844681555556	104.531473161742	1	-1.14806898750833	0.01	99
Charaxes zoolina	1	NA	NA	NA	NA	NA	NA	99
Charis anius	1	NA	NA	NA	NA	NA	NA	99
Chazara briseis	1	NA	NA	NA	NA	NA	NA	99
Cheritra freja	7	218.393155285714	239.056526200577	33.8425422178021	26	-0.61057383874647	0.26	99
Chersonesia rahria	1	NA	NA	NA	NA	NA	NA	99
Chilades lajus	3	185.608553666667	244.449562148148	48.703362541967	5	-1.20815084237313	0.05	99
Chillanella stelligera	1	NA	NA	NA	NA	NA	NA	99
Chioides albofasciatus	1	NA	NA	NA	NA	NA	NA	99
Chioides catillus	1	NA	NA	NA	NA	NA	NA	99
Chiomara asychis	3	236.871	250.582433474747	53.4754480782469	26	-0.256406144642015	0.26	99
Chiomara georgina	1	NA	NA	NA	NA	NA	NA	99
Chiomara mithrax	1	NA	NA	NA	NA	NA	NA	99
Chitoria chrysolora	1	NA	NA	NA	NA	NA	NA	99
Chloreuptychia arnaca	1	NA	NA	NA	NA	NA	NA	99
Chloroselas esmeralda	1	NA	NA	NA	NA	NA	NA	99
Chloroselas pseudozeritis	1	NA	NA	NA	NA	NA	NA	99
Chlorostrymon simaethis	6	218.361349	232.695712164983	27.4299186739999	18	-0.522581322071886	0.18	99
Chlosyne janais	1	NA	NA	NA	NA	NA	NA	99
Choaspes benjaminii	1	NA	NA	NA	NA	NA	NA	99
Chondrolepis niveicornis	1	NA	NA	NA	NA	NA	NA	99
Choranthus haitensis	1	NA	NA	NA	NA	NA	NA	99
Choranthus radians	1	NA	NA	NA	NA	NA	NA	99
Chorinea licursis	1	NA	NA	NA	NA	NA	NA	99
Chrysoplectrum perniciosus	1	NA	NA	NA	NA	NA	NA	99
Chrysoplectrum pervivax	1	NA	NA	NA	NA	NA	NA	99
Chrysoritis oreas	1	NA	NA	NA	NA	NA	NA	99
Chrysozephyrus ataxus	1	NA	NA	NA	NA	NA	NA	99
Chrysozephyrus smaragdina	2	222.29702	265.204836262626	82.5406000613286	9	-0.519838918432205	0.09	99
Cigaritis takanonis	0	NA	NA	NA	NA	NA	NA	99
Cigaritis zohra	2	237.158003	252.853426282828	63.87319585377	24	-0.245727853022433	0.24	99
Cirrochroa aoris	1	NA	NA	NA	NA	NA	NA	99
Cirrochroa orissa	1	NA	NA	NA	NA	NA	NA	99
Cissia confusa	6	165.390318333333	242.76086910101	34.2927136677242	1	-2.25618046787872	0.01	99
Cissia labe	2	213.46789	270.415368393939	91.45992603503	6	-0.622649512882046	0.06	99
Cissia myncea	1	NA	NA	NA	NA	NA	NA	99
