Lep_family,Lep_accepted_name,PD,Num.families,mpd.obs,mpd.obs.z,mntd.obs,mntd.obs.z,host.module
Hesperiidae,Dubiella dubius,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Dyscophellus porcius,325.050651,1,123.7924,-1.620257173,123.7924,-1.539543392,6
Hesperiidae,Eagris sabadius,509.226384,3,192.2894793,-1.226863717,176.062146,-1.623653661,13
Hesperiidae,Eantis mithridates,325.049924,1,118,-1.841016096,118,-1.713297661,2
Hesperiidae,Eantis thraso,325.049924,1,118,-1.841016096,118,-1.713297661,2
Hesperiidae,Ebusus ebusus,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Eetion elia,325.050667,1,143.8503,-1.298538515,143.8503,-1.477383981,2
Hesperiidae,Elbella iphinous,460.963225,2,271.825215,0.079071779,271.825215,0.043440059,NA
Hesperiidae,Elbella patrobas,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,NA
Hesperiidae,Elbella scylla,443.6292,2,237.158208,-0.306345099,237.158208,-0.417180634,NA
Hesperiidae,Eogenes alcides,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Epargyreus clarus,325.050502,1,192,-0.773400109,192,-0.886740072,7
Hesperiidae,Epargyreus spanna,431.791762,2,213.48309,-0.564628522,213.48309,-0.631300247,10
Hesperiidae,Ephyriades arcas,567.36434,3,244.0322853,-0.41005725,240.5952097,-0.327481588,11
Hesperiidae,Ephyriades brunnea,440.836947,2,231.572235,-0.402437889,231.572235,-0.465626195,11
Hesperiidae,Eracon paulinus,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,13
Hesperiidae,Erionota acroleucus,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Erionota thrax,642.926142,5,178.551428,-2.069623941,149.018574,-2.295772483,3
Hesperiidae,Erynnis brizo,325.050512,1,80.4628,-2.057024672,80.4628,-2.90510324,7
Hesperiidae,Erynnis horatius,437.752012,2,225.40311,-0.494066026,225.40311,-0.491699937,7
Hesperiidae,Erynnis tages,448.784712,2,247.46885,-0.387688618,247.46885,-0.278652797,9
Hesperiidae,Euphyes arpa,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Euphyes dion,325.050752,1,89.2401,-2.872645818,89.2401,-1.701793384,8
Hesperiidae,Euriphellus euribates,325.0502,1,54.482,-2.063227935,54.482,-2.37105666,7
Hesperiidae,Euschemon rafflesia,325.050763,1,126.5599,-1.590601811,126.5599,-1.430985188,2
Hesperiidae,Exometoeca nycteris,325.050162,1,101.6682,-1.673403163,101.6682,-1.769001778,12
Hesperiidae,Falga jeconia,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Fresna netopha,443.629754,2,237.158162,-0.427531584,237.158162,-0.364226091,13
Hesperiidae,Fresna nyassae,443.629754,2,237.158162,-0.427531584,237.158162,-0.364226091,13
Hesperiidae,Gamia buchholzi,439.650792,2,229.20127,-0.443553881,229.20127,-0.487006712,3
Hesperiidae,Gamia shelleyi,439.650792,2,229.20127,-0.443553881,229.20127,-0.487006712,3
Hesperiidae,Gangara thyrsis,423.259982,2,196.4188,-1.257814638,196.4188,-0.723861207,3
Hesperiidae,Gegenes pumilio,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
